recipe_name,original_recipe_name,ingredients,ingredient_count,ingredients_original,cooking_steps,cooking_method,meal_tags,servings,calories,carbohydrate,protein,fat,sodium_mg,sodium_point,tips,source_book,health_tags,diet_type
Chinese Fried Rice,Nasi Goreng Cina,"rice, chicken, carrot, green bean, cabbage, egg, shallot, garlic",8,"4 cups white rice, 1 piece chicken breast (cut into small pieces), ½ stick carrot (diced), 4 stalks green beans (sliced), 1 cup cabbage (finely sliced), 2 eggs, 4 cloves shallot, 4 cloves garlic, 2 tablespoons cooking oil, 1 tablespoon sesame oil, 1 teaspoon white pepper powder, 1 teaspoon salt, A little fried onion","Heat the oil. Sauté the shallot and garlic until golden. Add the chicken and cook briefly. Add the carrot, green beans, and cabbage, stirring briefly. Crack in 2 eggs. Add the white rice and mix well. Season with salt, white pepper, and sesame oil. Sprinkle with fried onions as a garnish. Ready to serve.",stir_fry,"lunch,dinner",4 person,285,30,16,11.5,600,3,No specific tip provided.,Resipi Masakan: #SedapTakSemestinyaMasin,high_protein,mixed
Anchovy Aglio Olio,Aglio Olio Ikan Bilis,"spaghetti, onion, garlic, anchovy, spinach",5,"250 g spaghetti (boiled until cooked), 1 holland onion (diced), 5 cloves garlic (finely chopped), 2 tablespoons anchovies (soaked, rinsed and drained - coarsely pounded), 2 tablespoons chili flakes, 1 teaspoon white pepper powder, 4 stalks fresh parsley leaves, 1 cup spinach (cut into small pieces), 3 tablespoons olive oil, ½ teaspoon salt","Boil the spaghetti in boiling water first. Heat the olive oil over medium heat. Sauté the yellow onion and garlic until golden. Add the anchovies, chili flakes, white pepper, and salt, then cook until golden. Add the spaghetti and mix well. Add a little water. Add the parsley and spinach. Stir evenly. Ready to serve.",stir_fry,"lunch,dinner",4 person,255,47,14,9,400,2,No specific tip provided.,Resipi Masakan: #SedapTakSemestinyaMasin,balanced,seafood
Sambal Stuffed Hardtail Scad,Ikan Cencaru Sambal Cili,"lemongrass, chili, shallot, garlic, candlenut, ginger, dried shrimp, hardtail scad",8,"4 stalks lemongrass, 8 red chilies, 4 shallots, 2 cloves garlic, 2 candlenuts, 1 teaspoon sugar, ½ inch ginger, 1 teaspoon dried shrimp, 1 teaspoon salt, 4 calamansi limes (squeezed juice), 1 cup water, 4 hardtail scad fish, 2 tablespoons margarine",Stuff the finely blended ingredients into the cleaned fish. Add margarine to the ingredients. Wrap the fish in banana leaves. Grill the fish until cooked. Ready to serve with white rice and your favorite vegetables.,grill,"lunch,dinner",4 person,120,6,19,2,625,3,No specific tip provided.,Resipi Masakan: #SedapTakSemestinyaMasin,"high_protein,low_calorie,low_fat",seafood
Egg Sandwich,Sandwich Telur,"bread, egg, tomato, lettuce",4,"8 slices wholemeal bread, 4 chicken eggs (boiled), 1 tomato (thinly sliced), 2 lettuce leaves (cut into small pieces), 2 full tablespoons low-fat mayonnaise, ½ teaspoon white pepper powder","Mash the boiled eggs. Add white pepper powder and mayonnaise, mixing evenly. Spread the egg mixture onto the bread. Place the cucumber, tomato, and lettuce slices. Cut into two halves. Ready to serve.",mix,"breakfast,snack",4 person,160,30,11,15,300,1.5,Wholemeal bread is more nutritious and higher in fiber compared to white bread. You can use boiled chicken as a substitute for eggs. Using commercial pepper powder (lada sulah) is not recommended because it contains high sodium; replacing it with pure white pepper powder is recommended. The best choice is using low-fat mayonnaise.,Resipi Masakan: #SedapTakSemestinyaMasin,"low_sodium,low_calorie",egg
Seafood Tom Yum,Tom Yam Seafood,"shrimp, squid, fish, chili, shallot, onion, garlic, lemongrass, tomato, galangal, mushroom, cauliflower, baby corn, carrot, celery",15,"½ cup shrimp, 1 cup squid, ½ cup fish fillet (cleaned), 1 liter (4 cups) water, 4 red chilies, 4 shallots, 2 onions, 2 cloves garlic, 2 stalks lemongrass, 2 tablespoons cooking oil, 1 tablespoon ground chili, 1 ripe tomato, 2 stalks lemongrass (crushed), 1 inch galangal (sliced), 2 kaffir lime leaves, 4 cloves garlic (crushed), 1 holland onion (cut into eight), 4 bird's eye chilies (crushed), 1 teaspoon salt, 1 teaspoon sugar, 4 limes (squeezed juice), 1 tomato (cut into 4), 1 cup oyster mushrooms, 1 cup cauliflower @ broccoli (cut into small pieces), 4 baby corn, 1 carrot (cut lengthwise), 1 stalk celery (cut into small pieces), Coriander leaves (a little)","Heat the cooking oil. Sauté the blended ingredients over medium heat. Stir until fragrant and crisp. Add water and let it boil. Add the garlic, lemongrass, yellow onion, and galangal. Add the seafood and simmer for 20 minutes. Season with salt and sugar. Add the vegetables, kaffir lime leaves, coriander leaves, and squeezed lime juice. Stir well. Ready to serve with rice or blanched vermicelli.",boil,"lunch,dinner",4 person,86,0,11,6,380,2,"Add coriander leaves to enhance the cooking aroma. The recipe can use other protein sources such as chicken, meat, or crab according to your preference.",Resipi Masakan: #SedapTakSemestinyaMasin,"low_sodium,low_calorie,low_fat",seafood
Turmeric Fried Chicken,Ayam Goreng Kunyit,"chicken, carrot, green bean, chili, garlic, onion, ginger, lemongrass",8,"4 pieces chicken (breast part, cut into small pieces), 2 tablespoons cooking oil (for sautéing), 1 carrot (cut long), 1 cup green beans, 2 green chilies (sliced), 2 teaspoons turmeric powder, ½ teaspoon fennel powder, ½ teaspoon cumin powder, 1 teaspoon salt, 3 cloves garlic, 1 onion, 1 inch ginger, 2 stalks lemongrass (crushed)","Mix the chicken with turmeric powder, salt, fennel, and cumin. Marinate for 30 minutes. Heat the cooking oil. Sauté the onion, garlic, ginger, and lemongrass until fragrant. Add the marinated chicken and fry until cooked. Add the vegetables and fry until tender. Ready to serve with white rice and selected vegetables.",fry,"lunch,dinner",4 person,220,9,15,14,600,3,"Use a non-stick pan to reduce oil usage. Increase the use of herbs and spices like onion, ginger, turmeric powder, fennel, and cumin to substitute salt and enhance the chicken's flavor.",Resipi Masakan: #SedapTakSemestinyaMasin,high_protein,chicken
Tropical Fruits Overnight Oatmeal,Tropical Fruits Overnight Oatmeal,"oat, milk, yogurt, chia seed, mango, banana",6,"½ cup oats (instant or quick cooking), 1/3 cup low-fat milk, 1/3 cup low-fat yogurt, 1 tablespoon chia seeds, 1 tablespoon honey, 1 tablespoon desiccated coconut, 1/3 cup ripe mango (diced), ½ ripe banana (sliced)","Put the oats into a glass. Pour in the low-fat milk. Add the honey, desiccated coconut, chia seeds, yogurt, banana, and ripe mango. Store in the refrigerator overnight.",mix,"breakfast,snack,dessert",Seperson,264,53,7,3,72,0.4,No specific tip provided.,Resipi Masakan: #SedapTakSemestinyaMasin,"low_sodium,low_fat",vegetarian
Portuguese Style Grilled Fish,Ikan Bakar Ala Portugis,"mackerel, okra, dried shrimp, chili, shallot, garlic, candlenut",7,"4 medium-sized mackerel fish, 4 okra (sliced diagonally), 1 tablespoon dried shrimp (soaked first), 2 kaffir lime leaves, ½ lime (squeezed juice), 1 teaspoon sugar, ½ teaspoon salt, Banana leaves and aluminum foil, 4 red chilies, 4 shallots, 4 cloves garlic, 4 candlenuts, 1 tablespoon chili powder, 2 tablespoons cooking oil, 1 cup water","Heat the cooking oil. Sauté the blended B ingredients until fragrant and crisp. Line the aluminum foil with banana leaves. Place the fish on the banana leaves. Top the fish with sambal paste, kaffir lime leaves, and sliced okra. Squeeze lime juice over it. Wrap the fish neatly. Grill for 15-20 minutes. Ready to serve with white rice and selected vegetables.",grill,"lunch,dinner",4 person,185,3,23,9,400,2,No specific tip provided.,Resipi Masakan: #SedapTakSemestinyaMasin,"high_protein,low_calorie",seafood
Lemon Sauce Chicken,Ayam Bersos Lemon,"chicken, chili, garlic, lemon",4,"600g chicken fillet, 1 red chili (finely cut), 2 cloves garlic, ½ lemon (squeezed juice), 2 tablespoons honey, 1 teaspoon sugar, ½ teaspoon salt, 100ml water, 2 teaspoons corn flour (mixed with ½ cup water), ½ lemon (squeezed juice), 2 cloves garlic (finely pounded), 1 teaspoon white pepper powder","Marinate the chicken with B ingredients for 30 minutes. Bake the chicken in the oven (150°C) for 30 minutes. Add water into a pan followed by squeezed lemon juice. Add the red chili, garlic, salt, sugar, and honey, stirring evenly. Finally, add the diluted corn flour mixture and stir until thick. Remove the chicken from the oven and pour the lemon sauce over it. Ready to serve with white rice or pasta and selected vegetables.",bake,"lunch,dinner",4 person,185,14,17,7,285,1.4,No specific tip provided.,Resipi Masakan: #SedapTakSemestinyaMasin,"low_sodium,high_protein,low_calorie,low_fat",chicken
Oat Dosa,Tosei Oat,"oat, wheat flour, rice flour, chili, onion, ginger, yogurt",7,"½ cup oat cereal (rolled or instant), ¼ cup wheat flour and ¼ cup rice flour, 2 green chilies (finely sliced), 2 tablespoons onion (finely chopped), ½ teaspoon ginger, A little coriander leaves, A little curry leaves, ¼ cup low-fat yogurt, 1¼ cups water, ½ teaspoon cumin powder, ¼ teaspoon salt, A little cooking oil","Blend the oat cereal, wheat flour, rice flour, and low-fat yogurt with water. Pour the batter into a bowl. Add the onion, curry leaves, green chili, coriander leaves, cumin, ginger, and salt. Beat slightly until well combined. Heat a pan with a little oil. Pour 1 small ladle of batter onto the pan and spread it out. Cook until the bottom is crisp and golden. Ready to serve with dhal gravy.",fry,"breakfast,snack",4 person,170,35,5,1,160,0.8,"Using a non-stick pan helps reduce oil usage. Using herbs like cumin, ginger, curry leaves, and coriander leaves enhances the flavor and aroma of the dosa.",Resipi Masakan: #SedapTakSemestinyaMasin,"low_sodium,low_calorie,low_fat",vegetarian
